text,severity,affected_population,scope,predicted_severity,prediction_confidence
"Coimbatore, Tamil Nadu ke agricultural context mein last-mile connectivity ka issue report hua hai. Small businesses bolte hain ki service is hard to verify from available records hai, aur scattered settlements ki wajah se response stable rakhna difficult hota hai. Iska effect unequal access for people with fewer alternatives ke form mein dikhta hai, especially holiday period ke time. First step pilot a monitoring process hona chahiye.
Affected population: 300
Scope: VILLAGE",CRITICAL,300,VILLAGE,MEDIUM,0.6126555323607006
"Community feedback from Chennai points to floods. People say the service has uneven coverage, but the reason is not uniform: in this case, long travel distances. The result is reduced service continuity. Rather than assume a technology solution, the first question is whether teams can map the service gap.
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,HIGH,0.6063460828475127
"Chennai, Tamil Nadu ke river-valley context mein risk monitoring ka issue report hua hai. Local employers bolte hain ki service creates repeated delays hai, aur limited field data ki wajah se response stable rakhna difficult hota hai. Iska effect lost productive time ke form mein dikhta hai, especially winter months ke time. First step review the operating schedule hona chahiye.
Affected population: 10000
Scope: CITY",HIGH,10000,CITY,LOW,0.6041035081140657
"Coimbatore, Tamil Nadu क्षेत्र में waste tracking से जुड़ी समस्या सामने आई है। commuters बताते हैं कि सेवा is difficult to monitor और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और strengthen community reporting है।
Affected population: 10000
Scope: CITY",MEDIUM,10000,CITY,CRITICAL,0.6037489651927007
"A community report describes internet access in Coimbatore, Tamil Nadu. Self-help groups say the service becomes unpredictable at peak times, particularly during dry season. The operating context is affected by multiple responsible stakeholders, which can result in longer waiting times. The immediate task is to pilot a monitoring process and verify the outcome.
Affected population: 50
Scope: BLOCK",CRITICAL,50,BLOCK,MEDIUM,0.5965248178280805
"Community feedback from Chennai points to landfill overflow. People say the service fails intermittently, but the reason is not uniform: in this case, variable resource availability. The result is greater exposure to avoidable risk. Rather than assume a technology solution, the first question is whether teams can review the operating schedule.
Affected population: 800
Scope: DISTRICT",HIGH,800,DISTRICT,LOW,0.5960705967345469
"Vadodara, Gujarat क्षेत्र में tourism waste से जुड़ी समस्या सामने आई है। frontline workers बताते हैं कि सेवा changes sharply by season और variable resource availability के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर school term के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और test an offline-capable process है।
Affected population: 10000
Scope: CITY",LOW,10000,CITY,HIGH,0.595509152282145
"A community report describes smart water monitoring in Chennai, Tamil Nadu. Shopkeepers say the service creates repeated delays, particularly during peak visitor period. The operating context is affected by weak monitoring, which can result in difficulty planning around the service. The immediate task is to review the operating schedule and verify the outcome.
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,LOW,0.5942401112834289
"Coimbatore, Tamil Nadu क्षेत्र में bridges से जुड़ी समस्या सामने आई है। self-help groups बताते हैं कि सेवा fails intermittently और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर school term के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और pilot a monitoring process है।
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,MEDIUM,0.5923979264677637
"A community report describes drinking-water continuity in Gorakhpur, Uttar Pradesh. Farmers say the service has uneven coverage, particularly during winter months. The operating context is affected by reactive maintenance, which can result in higher access costs. The immediate task is to verify field conditions and verify the outcome.
Affected population: 120
Scope: STATE",LOW,120,STATE,MEDIUM,0.5845729097032076
"A community report describes biodiversity in Chennai, Tamil Nadu. Village representatives say the service becomes unpredictable at peak times, particularly during dry season. The operating context is affected by fragmented records, which can result in unequal access for people with fewer alternatives. The immediate task is to map the service gap and verify the outcome.
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,HIGH,0.5841354222106864
"Community feedback from Coimbatore points to waste tracking. People say the service lacks timely status information, but the reason is not uniform: in this case, seasonal demand. The result is greater exposure to avoidable risk. Rather than assume a technology solution, the first question is whether teams can pilot a monitoring process.
Affected population: 50
Scope: BLOCK",CRITICAL,50,BLOCK,MEDIUM,0.5832580755451706
"Chennai, Tamil Nadu क्षेत्र में water pollution से जुड़ी समस्या सामने आई है। farmers बताते हैं कि सेवा creates repeated delays और paper-heavy workflows के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और review the operating schedule है।
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,LOW,0.5828246093031814
"Chennai, Tamil Nadu क्षेत्र में water conservation से जुड़ी समस्या सामने आई है। small businesses बताते हैं कि सेवा becomes unreliable after disruption और fragmented records के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और review the operating schedule है।
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,LOW,0.5787974543304627
"A community report describes teacher shortages in Chennai, Tamil Nadu. Self-help groups say the service lacks timely status information, particularly during school term. The operating context is affected by limited field data, which can result in higher access costs. The immediate task is to review the operating schedule and verify the outcome.
Affected population: 800
Scope: DISTRICT",HIGH,800,DISTRICT,LOW,0.5784572771643813
"Coimbatore, Tamil Nadu क्षेत्र में forest fires से जुड़ी समस्या सामने आई है। village representatives बताते हैं कि सेवा creates queues और scattered settlements के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर lost productive time के रूप में पड़ सकता है, खासकर summer peak के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और evaluate a research prototype है।
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,MEDIUM,0.5768430647446171
"Coimbatore, Tamil Nadu ke rural context mein retaining walls ka issue report hua hai. School staff bolte hain ki service has uneven coverage hai, aur fragmented records ki wajah se response stable rakhna difficult hota hai. Iska effect lost productive time ke form mein dikhta hai, especially monsoon season ke time. First step strengthen community reporting hona chahiye.
Affected population: 10000
Scope: CITY",MEDIUM,10000,CITY,CRITICAL,0.5767970221931517
"A community report describes air pollution in Chennai, Tamil Nadu. Patients say the service is hard to verify from available records, particularly during winter months. The operating context is affected by seasonal demand, which can result in greater exposure to avoidable risk. The immediate task is to map the service gap and verify the outcome.
Affected population: 2500
Scope: WARD",LOW,2500,WARD,HIGH,0.5740232215069379
"A community report describes migration in Coimbatore, Tamil Nadu. Farmers say the service fails intermittently, particularly during ordinary operating days. The operating context is affected by long travel distances, which can result in lost productive time. The immediate task is to reorganize collection or service routes and verify the outcome.
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,CRITICAL,0.5708126090346218
"Coimbatore, Tamil Nadu क्षेत्र में recycling से जुड़ी समस्या सामने आई है। farmers बताते हैं कि सेवा lacks timely status information और long travel distances के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर winter months के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और strengthen community reporting है।
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,CRITICAL,0.5707222932229374
"Community feedback from Coimbatore points to roads. People say the service becomes unreliable after disruption, but the reason is not uniform: in this case, seasonal demand. The result is reduced service continuity. Rather than assume a technology solution, the first question is whether teams can strengthen community reporting.
Affected population: 2500
Scope: WARD",MEDIUM,2500,WARD,CRITICAL,0.5694241899314305
"Chennai, Tamil Nadu क्षेत्र में household waste collection से जुड़ी समस्या सामने आई है। local employers बताते हैं कि सेवा becomes unreliable after disruption और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और review the operating schedule है।
Affected population: 800
Scope: DISTRICT",HIGH,800,DISTRICT,LOW,0.567074191610937
"Chennai, Tamil Nadu क्षेत्र में hill transport से जुड़ी समस्या सामने आई है। community volunteers बताते हैं कि सेवा works for some users but not others और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर ordinary operating days के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और review the operating schedule है।
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,LOW,0.5659106116301803
"A community report describes skill gaps in Coimbatore, Tamil Nadu. Caregivers say the service creates repeated delays, particularly during winter months. The operating context is affected by weak monitoring, which can result in higher access costs. The immediate task is to strengthen community reporting and verify the outcome.
Affected population: 300
Scope: VILLAGE",MEDIUM,300,VILLAGE,CRITICAL,0.5621661272383588
"Dehradun, Uttarakhand ke rural context mein textbook availability ka issue report hua hai. Local employers bolte hain ki service has uneven coverage hai, aur variable resource availability ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially winter months ke time. First step coordinate the responsible teams hona chahiye.
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,HIGH,0.561503886698712
"Coimbatore, Tamil Nadu ke urban context mein resilience planning ka issue report hua hai. Farmers bolte hain ki service works for some users but not others hai, aur reactive maintenance ki wajah se response stable rakhna difficult hota hai. Iska effect lost productive time ke form mein dikhta hai, especially winter months ke time. First step pilot a monitoring process hona chahiye.
Affected population: 10000
Scope: CITY",CRITICAL,10000,CITY,MEDIUM,0.5589255695919333
"Chennai, Tamil Nadu क्षेत्र में entrepreneurship से जुड़ी समस्या सामने आई है। small businesses बताते हैं कि सेवा is reported inconsistently और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर peak visitor period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और map the service gap है।
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,HIGH,0.5589052984737846
"A community report describes forest degradation in Chennai, Tamil Nadu. Tourism workers say the service returns after temporary fixes, particularly during winter months. The operating context is affected by multiple responsible stakeholders, which can result in longer waiting times. The immediate task is to review the operating schedule and verify the outcome.
Affected population: 10000
Scope: CITY",HIGH,10000,CITY,LOW,0.5569953636775687
"Community feedback from Chennai points to post-disaster assessment. People say the service requires several manual follow-ups, but the reason is not uniform: in this case, scattered settlements. The result is reduced service continuity. Rather than assume a technology solution, the first question is whether teams can establish a clearer escalation path.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,HIGH,0.5556913443831635
"A community report describes school infrastructure in Chennai, Tamil Nadu. Self-help groups say the service is hard to verify from available records, particularly during holiday period. The operating context is affected by limited field data, which can result in additional burden on caregivers. The immediate task is to verify field conditions and verify the outcome.
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,LOW,0.554871063703672
"Community feedback from Coimbatore points to hospital infrastructure. People say the service becomes unpredictable at peak times, but the reason is not uniform: in this case, paper-heavy workflows. The result is higher operating effort for local teams. Rather than assume a technology solution, the first question is whether teams can pilot a monitoring process.
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,MEDIUM,0.5495294230144262
"Community feedback from Coimbatore points to structural deterioration. People say the service creates repeated delays, but the reason is not uniform: in this case, variable resource availability. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can strengthen community reporting.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,CRITICAL,0.5490360440544422
"Kohima, Nagaland क्षेत्र में student attendance से जुड़ी समस्या सामने आई है। school staff बताते हैं कि सेवा requires several manual follow-ups और variable resource availability के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर summer peak के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और redesign the workflow है।
Affected population: 50
Scope: BLOCK",CRITICAL,50,BLOCK,HIGH,0.5486711291497309
"Community feedback from Guwahati points to construction debris. People say the service works for some users but not others, but the reason is not uniform: in this case, paper-heavy workflows. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can review the operating schedule.
Affected population: 2500
Scope: WARD",MEDIUM,2500,WARD,CRITICAL,0.5476558438572567
"A community report describes unemployment in Coimbatore, Tamil Nadu. School staff say the service creates queues, particularly during harvest period. The operating context is affected by reactive maintenance, which can result in difficulty planning around the service. The immediate task is to pilot a monitoring process and verify the outcome.
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,MEDIUM,0.5423712392256554
"Community feedback from Pithoragarh points to rockfalls. People say the service has uneven coverage, but the reason is not uniform: in this case, incomplete inventories. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can redesign the workflow.
Affected population: 800
Scope: DISTRICT",CRITICAL,800,DISTRICT,HIGH,0.5405441271536885
"Community feedback from Guwahati points to rockfalls. People say the service creates queues, but the reason is not uniform: in this case, reactive maintenance. The result is higher operating effort for local teams. Rather than assume a technology solution, the first question is whether teams can redesign the workflow.
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,HIGH,0.5401048734040156
"Gorakhpur, Uttar Pradesh क्षेत्र में dropout risk से जुड़ी समस्या सामने आई है। residents बताते हैं कि सेवा works for some users but not others और variable resource availability के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher access costs के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और verify field conditions है।
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,MEDIUM,0.5378156742840815
"Surat, Gujarat क्षेत्र में school transport से जुड़ी समस्या सामने आई है। shopkeepers बताते हैं कि सेवा causes avoidable travel और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर school term के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 2500
Scope: WARD",LOW,2500,WARD,CRITICAL,0.5353817824412211
"A community report describes vocational training in Chennai, Tamil Nadu. Local employers say the service has uneven coverage, particularly during monsoon season. The operating context is affected by long travel distances, which can result in reduced service continuity. The immediate task is to review the operating schedule and verify the outcome.
Affected population: 120
Scope: STATE",HIGH,120,STATE,LOW,0.531833790152518
"Guwahati, Assam क्षेत्र में hospital infrastructure से जुड़ी समस्या सामने आई है। farmers बताते हैं कि सेवा requires several manual follow-ups और weak monitoring के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और redesign the workflow है।
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,HIGH,0.5300484695211725
"Tehri Garhwal, Uttarakhand क्षेत्र में cloudburst impacts से जुड़ी समस्या सामने आई है। shopkeepers बताते हैं कि सेवा causes avoidable travel और scattered settlements के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और test an offline-capable process है।
Affected population: 2500
Scope: WARD",MEDIUM,2500,WARD,HIGH,0.5295724262034205
"A community report describes soil degradation in Ahmedabad, Gujarat. Students say the service fails intermittently, particularly during harvest period. The operating context is affected by limited staffing, which can result in higher access costs. The immediate task is to verify field conditions and verify the outcome.
Affected population: 300
Scope: VILLAGE",CRITICAL,300,VILLAGE,MEDIUM,0.5292849430405401
"A community report describes pipe leakage in Varanasi, Uttar Pradesh. School staff say the service is hard to verify from available records, particularly during school term. The operating context is affected by reactive maintenance, which can result in lost productive time. The immediate task is to test an offline-capable process and verify the outcome.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,HIGH,0.528594966117076
"Varanasi, Uttar Pradesh क्षेत्र में gig-work access से जुड़ी समस्या सामने आई है। drivers बताते हैं कि सेवा is reported inconsistently और long travel distances के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर peak visitor period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और test an offline-capable process है।
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,HIGH,0.5281836332496355
"A community report describes spring degradation in Surat, Gujarat. Shopkeepers say the service returns after temporary fixes, particularly during harvest period. The operating context is affected by seasonal demand, which can result in additional burden on caregivers. The immediate task is to reorganize collection or service routes and verify the outcome.
Affected population: 120
Scope: STATE",LOW,120,STATE,CRITICAL,0.5271768189366411
"Community feedback from Coimbatore points to tourism waste. People say the service becomes unpredictable at peak times, but the reason is not uniform: in this case, reactive maintenance. The result is unequal access for people with fewer alternatives. Rather than assume a technology solution, the first question is whether teams can strengthen community reporting.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,CRITICAL,0.52581950800613
"Pauri Garhwal, Uttarakhand क्षेत्र में bridges से जुड़ी समस्या सामने आई है। village representatives बताते हैं कि सेवा returns after temporary fixes और variable resource availability के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर greater exposure to avoidable risk के रूप में पड़ सकता है, खासकर summer peak के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और test an offline-capable process है।
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,HIGH,0.5252383388934676
"Surat, Gujarat ke urban context mein STEM facilities ka issue report hua hai. Municipal workers bolte hain ki service changes sharply by season hai, aur limited staffing ki wajah se response stable rakhna difficult hota hai. Iska effect delayed decision-making ke form mein dikhta hai, especially school term ke time. First step reorganize collection or service routes hona chahiye.
Affected population: 10000
Scope: CITY",LOW,10000,CITY,CRITICAL,0.5211515173325446
"Community feedback from Chennai points to construction debris. People say the service becomes unreliable after disruption, but the reason is not uniform: in this case, incomplete inventories. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can review the operating schedule.
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,LOW,0.5210311135938013
"Community feedback from Kohima points to forest fires. People say the service creates queues, but the reason is not uniform: in this case, seasonal demand. The result is reduced service continuity. Rather than assume a technology solution, the first question is whether teams can review the operating schedule.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,CRITICAL,0.5193935052590556
"Coimbatore, Tamil Nadu ke rural context mein biomedical waste ka issue report hua hai. Small businesses bolte hain ki service works for some users but not others hai, aur multiple responsible stakeholders ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially harvest period ke time. First step pilot a monitoring process hona chahiye.
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,MEDIUM,0.5192314079519156
"Chennai, Tamil Nadu क्षेत्र में environmental monitoring से जुड़ी समस्या सामने आई है। tourism workers बताते हैं कि सेवा works for some users but not others और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर winter months के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और map the service gap है।
Affected population: 10000
Scope: CITY",LOW,10000,CITY,HIGH,0.5182939686349092
"Vadodara, Gujarat ke rural context mein parking ka issue report hua hai. Tourism workers bolte hain ki service returns after temporary fixes hai, aur reactive maintenance ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially school term ke time. First step test an offline-capable process hona chahiye.
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,HIGH,0.5168525677979303
"Community feedback from Vadodara points to emergency transport. People say the service has uneven coverage, but the reason is not uniform: in this case, long travel distances. The result is additional burden on caregivers. Rather than assume a technology solution, the first question is whether teams can test an offline-capable process.
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,HIGH,0.5158084595899501
"A community report describes rural employment in Coimbatore, Tamil Nadu. Frontline workers say the service changes sharply by season, particularly during holiday period. The operating context is affected by limited field data, which can result in longer waiting times. The immediate task is to collect field evidence and verify the outcome.
Affected population: 50
Scope: BLOCK",CRITICAL,50,BLOCK,MEDIUM,0.5152235968002149
"Surat, Gujarat क्षेत्र में irrigation-water access से जुड़ी समस्या सामने आई है। students बताते हैं कि सेवा is difficult to monitor और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर difficulty planning around the service के रूप में पड़ सकता है, खासकर monsoon season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,CRITICAL,0.5141414862395339
"Community feedback from Vadodara points to hill transport. People say the service creates repeated delays, but the reason is not uniform: in this case, long travel distances. The result is reduced service continuity. Rather than assume a technology solution, the first question is whether teams can coordinate the responsible teams.
Affected population: 10000
Scope: CITY",CRITICAL,10000,CITY,HIGH,0.5140975118018769
"Coimbatore, Tamil Nadu क्षेत्र में emergency communication से जुड़ी समस्या सामने आई है। community volunteers बताते हैं कि सेवा creates queues और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher access costs के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और test an offline-capable process है।
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,MEDIUM,0.5134529421718632
